"","EB","n","type","N","mean.utilization","sd","se","ci"
"194","3",42,"Gamma",10,0.494323457142857,0.00986522482789867,0.00311965800858024,0.00705715670959057
"195","3",42,"Negexp",10,0.491337992857143,0.00995819797615167,0.00314905869955184,0.00712366569326319
"196","3",44,"Empiric",10,0.472141877272727,0.00654256427234105,0.00206894048386399,0.00468026853497611
"197","3",44,"Gamma",10,0.470003990909091,0.00433339295380683,0.00137033917305544,0.00309992257579033
"198","3",44,"Negexp",10,0.477493943181818,0.00919822004481287,0.00290873257610247,0.00658001023169468
"199","3",46,"Empiric",10,0.450416013043478,0.0141770273856588,0.00448316969892641,0.0101416344464663
"200","3",46,"Gamma",10,0.4519314,0.0116074436337368,0.00367059596946295,0.00830346496405883
"201","3",46,"Negexp",10,0.447520923913043,0.0079054963732854,0.00249993745737826,0.00565525142575575
"202","3",48,"Empiric",10,0.434010602083333,0.0101730749172431,0.00321700875460172,0.00727737939700682
"203","3",48,"Gamma",10,0.435810447916667,0.00933626610090516,0.00295238657202797,0.00667876243126231
"204","3",48,"Negexp",10,0.43120593125,0.00517497854354235,0.00163647190400947,0.00370195663937303
"205","3",50,"Empiric",10,0.410767692,0.00865326366643347,0.00273640223799093,0.00619017192296822
"206","3",50,"Gamma",10,0.416998124,0.00919205346534494,0.00290678253245336,0.00657559892648608
"207","3",50,"Negexp",10,0.415376228,0.0114908299999152,0.00363371950055245,0.00822004459577423
"242","4",28,"Gamma",10,0.969047071428571,0.0169032269689381,0.00534526970286286,0.0120918401454195
"243","4",28,"Negexp",10,0.977413489285714,0.00831110587613754,0.00262820244434039,0.00594540698474836
"244","4",30,"Empiric",10,0.927692383333333,0.0259637499336355,0.00821045863893338,0.0185733478199216
"245","4",30,"Gamma",10,0.925371636666667,0.0151679936895681,0.00479654075940961,0.010850529035552
"246","4",30,"Negexp",10,0.924260376666667,0.0130580769351372,0.00412932649767444,0.00934118551424666
"247","4",32,"Empiric",10,0.872164253125,0.0135492812842832,0.00428465895166263,0.00969257193765107
"248","4",32,"Gamma",10,0.869766453125,0.0180562961562803,0.00570990219603892,0.0129166961516466
"249","4",32,"Negexp",10,0.86732056875,0.0156077166477533,0.00493559336814282,0.0111650878904036
"250","4",34,"Empiric",10,0.822653391176471,0.014229497490434,0.00449976220294214,0.0101791692982742
"251","4",34,"Gamma",10,0.814608947058824,0.0185717054964343,0.00587288894026006,0.0132853977825277
"252","4",34,"Negexp",10,0.812915891176471,0.0114694771136644,0.00362696712503533,0.00820476966113229
"253","4",36,"Empiric",10,0.774508441666667,0.0176992539228927,0.00559699552820112,0.0126612835242697
"254","4",36,"Gamma",10,0.768468266666667,0.0210322566959292,0.00665098354924636,0.0150455700755807
"255","4",36,"Negexp",10,0.77269435,0.0203858842511092,0.00644658263500611,0.0145831830833496
"256","4",38,"Empiric",10,0.725832773684211,0.0131442143234291,0.00415656553154452,0.00940280448982356
"257","4",38,"Gamma",10,0.729316997368421,0.0158997150740185,0.00502793137816113,0.011373970981165
"258","4",38,"Negexp",10,0.733077497368421,0.0111271542082144,0.00351871511738851,0.00795988660664674
"259","4",40,"Empiric",10,0.69644439,0.0166432539764498,0.00526305902422356,0.0119058666698771
"260","4",40,"Gamma",10,0.6957570325,0.016417023148046,0.00519151855475332,0.011744030884435
"261","4",40,"Negexp",10,0.6952291175,0.0129196974654985,0.00408556706712798,0.00924219480499601
"262","4",42,"Empiric",10,0.658805019047619,0.0137955778156142,0.00436254475354313,0.00986876186225531
"263","4",42,"Gamma",10,0.653896821428571,0.0144175231437498,0.00455922113524405,0.0103136747478733
"264","4",42,"Negexp",10,0.659883283333333,0.0129338054810212,0.00409002841335965,0.00925228707132972
"265","4",44,"Empiric",10,0.628952295454545,0.0168000974074564,0.0053126572720252,0.0120180657014038
"266","4",44,"Gamma",10,0.625448675,0.0120953113520987,0.00382487328815226,0.00865246450558916
"267","4",44,"Negexp",10,0.626607261363636,0.0149549822989957,0.00472918064323275,0.0106981498662556
"268","4",46,"Empiric",10,0.600125682608696,0.0133808547460445,0.00423139780373744,0.00957208685037325
"269","4",46,"Gamma",10,0.599550773913043,0.0175917357429391,0.0055629952943482,0.0125843696517225
"270","4",46,"Negexp",10,0.598322226086957,0.00968652264918129,0.0030631474178221,0.0069293208719331
"271","4",48,"Empiric",10,0.57748616875,0.0161985970714677,0.00512244616451713,0.0115877782821106
"272","4",48,"Gamma",10,0.578590814583333,0.013459680101408,0.00425632456976954,0.00962847511269816
"273","4",48,"Negexp",10,0.57531885625,0.0109114665925207,0.00345050870452019,0.0078055929812279
"274","4",50,"Empiric",10,0.553956402,0.00709394453814393,0.0022433022335446,0.00507470221593414
"275","4",50,"Gamma",10,0.545817124,0.0150778299436514,0.00476802847946267,0.0107860297772423
"276","4",50,"Negexp",10,0.549040164,0.00614103526247125,0.00194196586208191,0.00439303198481818
"322","5",36,"Empiric",10,0.963761169444444,0.0121339768727754,0.00383710039937773,0.00868012415282819
"323","5",36,"Gamma",10,0.958582858333333,0.0206887748898232,0.00654236506503404,0.0147998579935075
"324","5",36,"Negexp",10,0.958865513888889,0.0127688483514745,0.00403786438879456,0.0091342838495194
"325","5",38,"Empiric",10,0.913751907894737,0.0161297817852765,0.00510068486029707,0.0115385507918974
"326","5",38,"Gamma",10,0.918429336842105,0.021044671934221,0.00665490959231596,0.015054451402032
"327","5",38,"Negexp",10,0.917504394736842,0.0249054144084489,0.00787578356010735,0.0178162601931452
"328","5",40,"Empiric",10,0.87179513,0.0238815497028035,0.00755200911153762,0.0170838315051821
"329","5",40,"Gamma",10,0.86238434,0.0118554207406019,0.00374901321599022,0.00848085709997742
"330","5",40,"Negexp",10,0.86770345,0.0145384000151084,0.00459744575823689,0.0104001448525718
"331","5",42,"Empiric",10,0.821780597619048,0.017270975591878,0.00546156202835091,0.0123549116625007
"332","5",42,"Gamma",10,0.822332559523809,0.0236486938751309,0.00747837363334872,0.0169172564807611
"333","5",42,"Negexp",10,0.827865045238095,0.0122368232864444,0.00386962329101515,0.00875369604510068
"334","5",44,"Empiric",10,0.789011422727273,0.0231617595119874,0.00732439146749504,0.0165689246213319
"335","5",44,"Gamma",10,0.788964056818182,0.0155890642990881,0.00492969497759347,0.0111517448039734
"336","5",44,"Negexp",10,0.790682518181818,0.0177389672583714,0.00560955398756061,0.0126896927330635
"337","5",46,"Empiric",10,0.747290045652174,0.0172191639067614,0.00544517773491294,0.0123178478157426
"338","5",46,"Gamma",10,0.753096789130435,0.0200036954559569,0.00632572392611841,0.0143097816893528
"339","5",46,"Negexp",10,0.751331506521739,0.0135665797235488,0.00429012919846717,0.00970494649564223
"340","5",48,"Empiric",10,0.728481254166667,0.0146259473975905,0.00462513067141982,0.01046277247723
"341","5",48,"Gamma",10,0.7221458625,0.0188712545312151,0.00596761466234128,0.0134996822532349
"342","5",48,"Negexp",10,0.7205104,0.0119593502689446,0.00378187861856121,0.00855520380581163
"343","5",50,"Empiric",10,0.69644218,0.0103123164221344,0.00326104078463031,0.00737698676912853
"344","5",50,"Gamma",10,0.691806242,0.0227936289007734,0.00720797834670841,0.0163055798463008
"345","5",50,"Negexp",10,0.703557152,0.0101668219315934,0.00321503138691878,0.00727290628053936
"403","6",44,"Empiric",10,0.948574063636364,0.00996195492671914,0.00315024675163683,0.00712635325379702
"404","6",44,"Gamma",10,0.951634811363636,0.0227262919734196,0.00718668454060088,0.0162574099102914
"405","6",44,"Negexp",10,0.947808563636364,0.0111278019135653,0.00351891993980466,0.00796034994714254
"406","6",46,"Empiric",10,0.913598732608696,0.0231457783370914,0.00731933777625932,0.0165574923775045
"407","6",46,"Gamma",10,0.906307532608696,0.0198550662292179,0.00627872323778194,0.014203458745576
"408","6",46,"Negexp",10,0.903225773913043,0.0178857393414295,0.00565596739549973,0.0127946871562828
"409","6",48,"Empiric",10,0.859906145833333,0.0228776629372324,0.00723455224232721,0.0163656941746183
"410","6",48,"Gamma",10,0.859895829166667,0.0166831965294045,0.00527568996851345,0.0119344398509753
"411","6",48,"Negexp",10,0.863359777083333,0.0192043415176227,0.00607294601594223,0.0137379583292505
"412","6",50,"Empiric",10,0.827446256,0.0233740993000653,0.0073915392043154,0.0167208233551458
"413","6",50,"Gamma",10,0.830588114,0.00827317708814079,0.00261620830844445,0.00591827436431979
"414","6",50,"Negexp",10,0.825061308,0.0193300320761065,0.00611269286046098,0.0138278719382773
