"","EB","n","type","N","Crowdsourcing_completion_times.queue_queueingTime.mean","sd","se","ci"
"275","4",50,"Gamma",10,22.7034616666667,1.3207689020399,0.417663799316589,0.944821155265534
"276","4",50,"Negexp",10,15.2341733333333,0.853889115311182,0.270023447360949,0.610835475571035
"322","5",36,"Empiric",10,514.610403333333,214.008966578059,67.6755774085518,153.09279218126
"323","5",36,"Gamma",10,449.774201666667,324.167315414012,102.510705969049,231.895327771384
"324","5",36,"Negexp",10,315.648975,116.530295274634,36.8501149479801,83.3607514795104
"325","5",38,"Empiric",10,237.05157,121.426890877915,38.3985544366934,86.8635649600628
"326","5",38,"Gamma",10,232.902316666667,69.1847114682848,21.8781267501352,49.4917611364253
"327","5",38,"Negexp",10,157.96153,43.6793350581467,13.8126185465387,31.2463139820518
"328","5",40,"Empiric",10,148.993935,53.9578478677086,17.0629696902819,38.5991191034798
"329","5",40,"Gamma",10,129.9027,26.1047746007741,8.25505455437589,18.6742307894714
"330","5",40,"Negexp",10,94.3974516666667,22.9269980021229,7.25015335968384,16.4009863539943
"331","5",42,"Empiric",10,100.427596666667,17.4974629744648,5.53318362737733,12.5169309757494
"332","5",42,"Gamma",10,95.2621033333333,15.7779083181959,4.98941269988157,11.2868356771934
"333","5",42,"Negexp",10,69.16787,9.88523845324212,3.1259868726125,7.07147359469352
"334","5",44,"Empiric",10,79.9248616666667,10.5143330262365,3.32492404404384,7.52150074199374
"335","5",44,"Gamma",10,82.788145,14.6265040884269,4.62530671251938,10.4631707098643
"336","5",44,"Negexp",10,52.3734616666667,5.18608007720316,1.63998251719839,3.70989819814416
"337","5",46,"Empiric",10,63.1365216666667,6.75295959850312,2.1354733278366,4.83077628453009
"338","5",46,"Gamma",10,65.8912916666667,8.99895823073615,2.84572045778453,6.43746691689866
"339","5",46,"Negexp",10,42.7526733333333,3.53640122046567,1.11830825768708,2.52978903534321
"340","5",48,"Empiric",10,56.4184166666667,5.46488739737496,1.72814913320545,3.90934494006423
"341","5",48,"Gamma",10,51.669475,6.16071480475853,1.94818907977565,4.40710988129973
"342","5",48,"Negexp",10,34.1248433333333,3.55530950252099,1.12428758148065,2.54331520549152
"343","5",50,"Empiric",10,47.36956,4.85586546877226,1.53555948926816,3.47367689755071
"344","5",50,"Gamma",10,45.3945366666667,5.40071393485718,1.70785570251589,3.86343801047208
"345","5",50,"Negexp",10,31.4062783333333,2.12773650958022,0.672849363097017,1.52209100621413
"403","6",44,"Empiric",10,369.915168333333,109.829933644356,34.7312745581323,78.56760151479
"404","6",44,"Gamma",10,386.239078333333,161.480537195397,51.0646295324994,115.51621746258
"405","6",44,"Negexp",10,265.138536666667,91.1351004030483,28.8194492061762,65.1941234496505
"406","6",46,"Empiric",10,220.773526666667,58.6632405012425,18.5509454910164,41.9651542191818
"407","6",46,"Gamma",10,213.5906,61.7232202883446,19.5185960631484,44.154131892016
"408","6",46,"Negexp",10,120.105911666667,30.5531640481023,9.66175881167736,21.8564169010646
"409","6",48,"Empiric",10,137.856076666667,35.0308551004437,11.0777290500729,25.0595641181601
"410","6",48,"Gamma",10,130.095235,18.8920087623382,5.97417772648473,13.5145289357969
"411","6",48,"Negexp",10,89.5205183333333,23.4496228025291,7.41542183278127,16.7748496141963
"412","6",50,"Empiric",10,105.863241666667,21.5253829915243,6.80692377606658,15.3983313766504
"413","6",50,"Gamma",10,104.833283333333,12.7006014934673,4.01628283734929,9.08546298833318
"414","6",50,"Negexp",10,67.96774,10.7423917199317,3.39704253527177,7.68464410349522
