"","Shape","Rate","EB","n","type","N","Crowdsourcing_completion_times.queue_queueingTime.mean","sd","se","ci"
"430","1",2.00885,"1",36,"Simulation",10,2.39842266666667,0.0886956003550666,0.028048011555805,0.063449010243211
"431","1",2.00885,"1",38,"Simulation",10,2.17715983333333,0.0863526710519636,0.0273071122563493,0.0617729795860352
"432","1",2.00885,"1",40,"Simulation",10,2.00497866666667,0.0568583422155991,0.0179801865382598,0.0406740077659722
"433","1",2.00885,"1",42,"Simulation",10,1.911866,0.138217474784941,0.0437082032757306,0.098874825113234
"434","1",2.00885,"1",44,"Simulation",10,1.756531,0.0743300438451686,0.0235052237130913,0.0531725101857436
"435","1",2.00885,"1",46,"Simulation",10,1.63707,0.05312578972543,0.016799849802753,0.0380039005652318
"436","1",2.00885,"1",48,"Simulation",10,1.57436683333333,0.0695587087564025,0.021996395077053,0.0497593026792947
"437","1",2.00885,"1",50,"Simulation",10,1.4495975,0.0633075080155742,0.0200195918318581,0.0452874630587342
"439","1",2.00885,"2",8,"Simulation",10,148.47259,25.362812531408,8.020425546711,18.143463099182
"440","1",2.00885,"2",10,"Simulation",10,63.0323183333333,4.25811227145599,1.34653333105141,3.04607001978447
"441","1",2.00885,"2",12,"Simulation",10,38.253935,4.81495963874505,1.52262393002159,3.44441462954629
"442","1",2.00885,"2",14,"Simulation",10,27.1710883333333,1.55016649534,0.490205687775518,1.10892230784581
"443","1",2.00885,"2",16,"Simulation",10,20.649565,1.10229537252924,0.34857640314562,0.7885346071583
"444","1",2.00885,"2",18,"Simulation",10,16.5491416666667,1.11754805636583,0.353399725281025,0.799445719875388
"445","1",2.00885,"2",20,"Simulation",10,13.750755,0.732629838324297,0.23167789709057,0.524091814365457
"446","1",2.00885,"2",22,"Simulation",10,11.6183183333333,0.422680137246641,0.133663195541196,0.302367155196013
"447","1",2.00885,"2",24,"Simulation",10,10.1705516666667,0.500395235174959,0.158238867344848,0.357961187197222
"448","1",2.00885,"2",26,"Simulation",10,9.078635,0.437582300932643,0.138375673472437,0.3130275209027
"449","1",2.00885,"2",28,"Simulation",10,8.15707166666667,0.26716706627012,0.0844856445198726,0.191119805904253
"450","1",2.00885,"2",30,"Simulation",10,7.277805,0.385994592654666,0.122062207729765,0.276123897522849
"451","1",2.00885,"2",32,"Simulation",10,6.391855,0.368610662065372,0.11656492619492,0.263688182722883
"452","1",2.00885,"2",34,"Simulation",10,6.08926666666667,0.312503823680311,0.0988223860341446,0.22355176841195
"453","1",2.00885,"2",36,"Simulation",10,5.325405,0.110396249838457,0.0349103594630521,0.0789727197152033
"454","1",2.00885,"2",38,"Simulation",10,4.96465833333333,0.25900284714699,0.0819038917452931,0.185279475372664
"455","1",2.00885,"2",40,"Simulation",10,4.67014333333333,0.319571089697379,0.101057251778569,0.228607385963591
"456","1",2.00885,"2",42,"Simulation",10,4.25887166666667,0.252898433359479,0.0799735066104263,0.180912640812865
"457","1",2.00885,"2",44,"Simulation",10,4.03443833333333,0.123313591275292,0.0389951814884992,0.0882132291188243
"458","1",2.00885,"2",46,"Simulation",10,3.82420333333333,0.193108103288172,0.0610661441025676,0.138141215286091
"459","1",2.00885,"2",48,"Simulation",10,3.55506,0.174756971319291,0.0552630066361679,0.125013606299772
"460","1",2.00885,"2",50,"Simulation",10,3.35904833333333,0.184107989722417,0.0582200582957709,0.131702921892307
"464","1",2.00885,"3",12,"Simulation",10,159.65887,38.2179873888841,12.0855887736465,27.339501210938
"465","1",2.00885,"3",14,"Simulation",10,72.7343783333333,6.76235123284506,2.1384432233838,4.83749465501495
"466","1",2.00885,"3",16,"Simulation",10,48.861265,6.72044472963212,2.1251912234912,4.80751654853649
"467","1",2.00885,"3",18,"Simulation",10,37.2653016666667,4.03872591080657,1.27715727232868,2.88913047161814
"468","1",2.00885,"3",20,"Simulation",10,27.2945816666667,1.40860090496642,0.445438717386828,1.00765238512426
"469","1",2.00885,"3",22,"Simulation",10,24.3831716666667,2.31894773052707,0.733315660334393,1.65887527361754
"470","1",2.00885,"3",24,"Simulation",10,19.6120366666667,1.07277087876256,0.339239938439003,0.767414056647013
"471","1",2.00885,"3",26,"Simulation",10,17.179925,1.32036583660914,0.417536338835863,0.944532819626086
"472","1",2.00885,"3",28,"Simulation",10,15.04345,1.12621351477604,0.356139983835598,0.805644615392534
"473","1",2.00885,"3",30,"Simulation",10,12.7814933333333,0.516706787880685,0.163397033217245,0.369629769072367
"474","1",2.00885,"3",32,"Simulation",10,11.9660466666667,0.457024259142165,0.144523760484027,0.326935459973474
"475","1",2.00885,"3",34,"Simulation",10,10.722715,0.60466288084537,0.191211192003037,0.432549767596853
"476","1",2.00885,"3",36,"Simulation",10,9.1592,0.399930679718682,0.126469185409034,0.286093173646301
"477","1",2.00885,"3",38,"Simulation",10,8.89522166666667,0.497861257884014,0.157437553366994,0.356148489042571
"478","1",2.00885,"3",40,"Simulation",10,8.049495,0.441286588665937,0.13954707210702,0.315677408714414
"479","1",2.00885,"3",42,"Simulation",10,7.40876333333333,0.677834830012281,0.214350194023187,0.484893826756737
"480","1",2.00885,"3",44,"Simulation",10,6.85118666666667,0.329672719657571,0.104251667654009,0.235833656717175
"481","1",2.00885,"3",46,"Simulation",10,6.40711166666667,0.290105871058894,0.0917395315133228,0.207529238324615
