page.load.time,qoe,tdch
19,1.4137,16
19.1,1.4095,16
19.2,1.4053,16
19.3,1.4012,16
19.4,1.397,16
19.5,1.3929,16
19.6,1.3888,16
19.7,1.3848,16
19.8,1.3807,16
19.9,1.3767,16
20,1.3727,16
20.1,1.3687,16
20.2,1.3647,16
20.3,1.3608,16
20.4,1.3569,16
20.5,1.353,16
20.6,1.3491,16
20.7,1.3452,16
20.8,1.3413,16
20.9,1.3375,16
21,1.3337,16
21.1,1.3299,16
21.2,1.3261,16
21.3,1.3224,16
21.4,1.3186,16
21.5,1.3149,16
21.6,1.3112,16
21.7,1.3075,16
21.8,1.3038,16
21.9,1.3001,16
22,1.2965,16
22.1,1.2929,16
22.2,1.2893,16
22.3,1.2857,16
22.4,1.2821,16
22.5,1.2785,16
22.6,1.275,16
22.7,1.2715,16
22.8,1.268,16
22.9,1.2645,16
23,1.261,16
23.1,1.2575,16
23.2,1.2541,16
23.3,1.2506,16
23.4,1.2472,16
23.5,1.2438,16
23.6,1.2404,16
23.7,1.237,16
23.8,1.2336,16
23.9,1.2303,16
24,1.227,16
24.1,1.2236,16
24.2,1.2203,16
24.3,1.217,16
24.4,1.2137,16
24.5,1.2105,16
24.6,1.2072,16
24.7,1.204,16
24.8,1.2007,16
24.9,1.1975,16
25,1.1943,16
