"","mechanism","parameter","connected.count","relative.disconnected.time","waiting.time"
"714","Size",12,43,0.01013071110262,88.622570044554
"715","Size",12,16,0.003594428500035,133.53482500381
"716","Size",12,38,0.009682787436443,169.72306499325
"717","Size",12,61,0.015602566308801,95.056993893229
"718","Size",12,37,0.011407344761547,107.07642409078
"719","Size",12,49,0.015069410675799,105.64231286885
"720","Size",12,41,0.010230412507312,108.36403953212
"721","Size",12,9,0.0054217087873159,228.29376379623
"722","Size",12,77,0.016725703030767,49.93869402486
"723","Size",12,43,0.013890020110963,175.56990614385
"724","Size",12,59,0.017954949676601,81.737601211695
"725","Size",12,55,0.011993301536395,67.70628293992
"726","Size",12,22,0.0060343483909253,183.69063627935
"727","Size",12,54,0.013537213521328,97.347156181754
"728","Size",12,17,0.0040776821647675,134.36441634684
"729","Size",12,19,0.0087451152162029,204.37180317758
"730","Size",12,33,0.013585191085666,140.71634880256
"731","Size",12,41,0.013779016972555,96.003786274197
"732","Size",12,19,0.0065762058804688,102.1092911813
"733","Size",12,59,0.017568638289677,74.802627181777
"734","Size",12,65,0.016890892679878,78.864488056734
"735","Size",12,49,0.013144828915885,76.323183314751
"736","Size",12,53,0.019220358234134,94.096703835877
"737","Size",12,49,0.01140321767039,103.61560548738
"738","Size",12,43,0.013887374283247,84.006498957689
"739","Size",12,52,0.013887167135695,102.72164240973
"740","Size",12,47,0.009254206796953,90.886459980631
"741","Size",12,27,0.0053475612344855,121.4032715124
"742","Size",12,32,0.0055984857887066,470.52629025076
"743","Size",12,83,0.021171668161084,110.89544197461
"744","Size",12,42,0.01204117938494,97.593043884817
"745","Size",12,47,0.013002764400473,87.597353972926
"746","Size",12,53,0.011230767154654,97.089786156746
"747","Size",12,75,0.013849023282014,67.945717040712
"748","Size",12,36,0.008379462153356,98.242713430946
"749","Size",12,54,0.016505277921507,117.76788985122
"750","Size",12,13,0.0060301397918364,219.13800235553
"751","Size",12,3,0.0030204422507568,192.62783512333
"752","Size",12,57,0.016349286639458,86.651014146693
"753","Size",12,47,0.0096369967970785,120.16314947253
"754","Size",12,2,0.0020306169667057,313.53668838917
"755","Size",12,39,0.013648162794968,164.12127442492
"756","Size",12,3,0.0025515789861378,236.96577359771
"757","Size",12,24,0.0080781949443433,190.06443889593
"758","Size",12,21,0.0082479788799824,348.4446611077
"759","Size",12,59,0.012960791954986,121.95030292871
"760","Size",12,9,0.0044541130918066,217.90582176634
"761","Size",12,33,0.008338805973589,188.28592044523
"762","Size",12,35,0.0075321527770451,238.42846243188
"763","Size",12,75,0.018438491823927,57.011550603993
"764","Size",12,27,0.0070947502686593,130.70985286167
"765","Size",12,37,0.010176467547883,96.447510547717
"766","Size",12,37,0.011178624879394,178.84995610315
"767","Size",12,69,0.016598995712479,60.629700202828
"768","Size",12,87,0.018892705398332,79.674385096554
"769","Size",12,45,0.015261696078778,165.45180735248
"770","Size",12,47,0.011997359584999,197.04565438347
"771","Size",12,14,0.0038538340690022,129.62830145479
"772","Size",12,67,0.015213352316867,72.51684767898
"773","Size",12,39,0.0079071830645152,77.436273761708
"774","Size",12,43,0.013447092643871,115.66324009728
"775","Size",12,43,0.0097399174758914,100.54409511227
"776","Size",12,87,0.018519560035212,58.919000498422
"777","Size",12,69,0.014966268892461,98.509926584286
"778","Size",12,33,0.0087241468041332,186.23211983828
"779","Size",12,33,0.0089900605900996,360.22443183605
"780","Size",12,38,0.011599587661715,234.18495648863
"781","Size",12,68,0.014913873191933,93.274972383456
"782","Size",12,45,0.01116919696127,96.766160077312
"783","Size",12,91,0.024007308190092,56.341520630543
"784","Size",12,77,0.018751396268166,67.458280730808
