"","Type","variable","value"
"43013","Measurement","Upload",11578439.1264281
"43014","Measurement","Upload",11181836.524395
"43015","Measurement","Upload",500251.816469468
"43016","Measurement","Upload",15813109.9689997
"43017","Measurement","Upload",11420788.7021705
"43018","Measurement","Upload",11525428.6215296
"43019","Measurement","Upload",8439834.32270746
"43020","Measurement","Upload",15504039.2472389
"43021","Measurement","Upload",13365700.8338591
"43022","Measurement","Upload",11643690.198261
"43023","Measurement","Upload",12159777.0651045
"43024","Measurement","Upload",15702479.0539124
"43025","Measurement","Upload",656770.903277072
"43026","Measurement","Upload",1512674.69850856
"43027","Measurement","Upload",664917.461054191
"43028","Measurement","Upload",9275152.0762811
"43029","Measurement","Upload",13772163.2502463
"43030","Measurement","Upload",5737355.85748372
"43031","Measurement","Upload",7099501.2481265
"43032","Measurement","Upload",9087005.08450885
"43033","Measurement","Upload",11294907.4768396
"43034","Measurement","Upload",14544430.4580203
"43035","Measurement","Upload",16973298.0142368
"43036","Measurement","Upload",4658710.38330106
"43037","Measurement","Upload",12033515.3967557
"43038","Measurement","Upload",13593795.9446269
"43039","Measurement","Upload",16922857.4185133
"43040","Measurement","Upload",9388504.36143823
"43041","Measurement","Upload",5630362.55618573
"43042","Measurement","Upload",13429231.1502318
"43043","Measurement","Upload",9768247.8523511
"43044","Measurement","Upload",10270696.7541514
"43045","Measurement","Upload",8987421.97970857
"43046","Measurement","Upload",11579337.2653096
"43047","Measurement","Upload",12437441.6939515
"43048","Measurement","Upload",9105727.5981017
"43049","Measurement","Upload",3868013.10981722
"43050","Measurement","Upload",10406447.2940438
"43051","Measurement","Upload",7610486.03501872
"43052","Measurement","Upload",8258174.33347223
"43053","Measurement","Upload",9579429.82108132
"43054","Measurement","Upload",4477049.8193684
"43055","Measurement","Upload",10455240.9606335
"43056","Measurement","Upload",3024185.86396399
"43057","Measurement","Upload",4366653.60128414
"43058","Measurement","Upload",3343632.69351987
"43059","Measurement","Upload",5815296.29696148
"43060","Measurement","Upload",9172761.70357011
"43061","Measurement","Upload",10509519.652714
"43062","Measurement","Upload",9810174.70559526
"43063","Measurement","Upload",9624686.09828368
"43064","Measurement","Upload",11102781.6865844
"43065","Measurement","Upload",10006998.9345867
"43066","Measurement","Upload",285434.254203548
"43067","Measurement","Upload",11435881.6001042
"43068","Measurement","Upload",14713033.0648052
"43069","Measurement","Upload",9518190.80563205
"43070","Measurement","Upload",10132523.7639301
"43071","Measurement","Upload",14922748.1490678
"43072","Measurement","Upload",10705669.1093631
"43073","Measurement","Upload",8706422.09844725
"43074","Measurement","Upload",7453233.82253602
"43075","Measurement","Upload",13641923.0382642
"43076","Measurement","Upload",5328324.31452076
"43077","Measurement","Upload",5058736.31803173
"43078","Measurement","Upload",623974.965632075
"43079","Measurement","Upload",9145240.47013899
"43080","Measurement","Upload",18127893.3923961
"43081","Measurement","Upload",13037978.9333598
"43082","Measurement","Upload",4573633.38491815
"43083","Measurement","Upload",8069548.59211375
"43084","Measurement","Upload",7385700.76969087
"43085","Measurement","Upload",9080677.36450683
"43086","Measurement","Upload",12008559.519791
"43087","Measurement","Upload",8719177.45225127
"43088","Measurement","Upload",9865425.75766112
"43089","Measurement","Upload",10016629.8920109
"43090","Measurement","Upload",9423333.41720754
"43091","Measurement","Upload",674726.143193833
"43092","Measurement","Upload",5753482.94926199
"43093","Measurement","Upload",6555291.01238789
"43094","Measurement","Upload",9187199.93245244
"43095","Measurement","Upload",5074248.4741407
"43096","Measurement","Upload",8361089.17263283
"43097","Measurement","Upload",8341420.73746967
"43098","Measurement","Upload",10152677.2595252
"43099","Measurement","Upload",4496323.84159474
"43100","Measurement","Upload",10384178.0872525
"43101","Measurement","Upload",558558.448041571
"43102","Measurement","Upload",502471.844120487
"43103","Measurement","Upload",1257652.98137552
"43104","Measurement","Upload",8883879.07327052
"43105","Measurement","Upload",13450996.7405962
"43106","Measurement","Upload",9818675.6941209
"43107","Measurement","Upload",5729166.3113655
"43108","Measurement","Upload",6848731.67709327
"43109","Measurement","Upload",11515236.4790455
"43110","Measurement","Upload",8612835.35581265
"43111","Measurement","Upload",13177187.246634
"43112","Measurement","Upload",5799181.25815421
"43113","Measurement","Upload",9774412.50352382
"43114","Measurement","Upload",15928945.3088145
"43115","Measurement","Upload",9619394.11877272
"43116","Measurement","Upload",3013035.7710661
"43117","Measurement","Upload",4074474.70026044
"43118","Measurement","Upload",10202057.4305133
"43119","Measurement","Upload",9812087.59460934
"43120","Measurement","Upload",10035732.5486255
"43121","Measurement","Upload",10546300.9725617
"43122","Measurement","Upload",6644366.19241431
"43123","Measurement","Upload",7773021.35935194
"43124","Measurement","Upload",10201411.1074552
"43125","Measurement","Upload",6032571.44156838
"43126","Measurement","Upload",8968207.26882845
"43127","Measurement","Upload",5112395.01168854
"43128","Measurement","Upload",7255095.80110657
"43129","Measurement","Upload",9558551.68740367
"43130","Measurement","Upload",5356112.25272496
"43131","Measurement","Upload",6268636.13420234
"43132","Measurement","Upload",3694383.20658004
"43133","Measurement","Upload",10708861.7111815
"43134","Measurement","Upload",2381663.22886936
"43135","Measurement","Upload",3774005.94747528
"43136","Measurement","Upload",3449868.31620399
"43137","Measurement","Upload",5759632.39201597
"43138","Measurement","Upload",10018643.2635123
"43139","Measurement","Upload",12696236.6177733
"43140","Measurement","Upload",10930088.7395002
"43141","Measurement","Upload",6332633.17455338
"43142","Measurement","Upload",12078097.3685488
"43143","Measurement","Upload",8545776.75254931
"43144","Measurement","Upload",10345185.4949214
"43145","Measurement","Upload",8725280.82435772
"43146","Measurement","Upload",8812323.11831115
"43147","Measurement","Upload",8706166.37674017
"43148","Measurement","Upload",345339.864426896
"43149","Measurement","Upload",9299450.17392859
"43150","Measurement","Upload",5127231.80482684
"43151","Measurement","Upload",4482294.54272677
"43152","Measurement","Upload",9900540.3787547
"43153","Measurement","Upload",7090955.29011574
"43154","Measurement","Upload",7274411.90004455
"43155","Measurement","Upload",8241158.15549166
"43156","Measurement","Upload",11310671.2820233
"43157","Measurement","Upload",3416164.15474182
"43158","Measurement","Upload",6070761.42455508
"43159","Measurement","Upload",9253178.7711938
"43160","Measurement","Upload",6110112.26410799
"43161","Measurement","Upload",584452.529605806
"43162","Measurement","Upload",11117761.5164992
"43163","Measurement","Upload",10135769.3286556
"43164","Measurement","Upload",15322389.3428439
"43165","Measurement","Upload",6305370.36801386
"43166","Measurement","Upload",9149120.52950339
"43167","Measurement","Upload",13405928.2308176
"43168","Measurement","Upload",10155255.6872127
"43169","Measurement","Upload",13344772.4894083
"43170","Measurement","Upload",12534626.1069418
"43171","Measurement","Upload",12171304.7673802
"43172","Measurement","Upload",10493255.0409999
"43173","Measurement","Upload",9745953.37354974
"43174","Measurement","Upload",786069.429733571
"43175","Measurement","Upload",10894531.1570363
"43176","Measurement","Upload",10159159.6655228
"43177","Measurement","Upload",13106563.1168854
"43178","Measurement","Upload",7306313.5813684
"43179","Measurement","Upload",12858892.6115223
"43180","Measurement","Upload",11897173.7473946
"43181","Measurement","Upload",10739939.6742015
"43182","Measurement","Upload",15519057.9456423
"43183","Measurement","Upload",9884081.57147369
"43184","Measurement","Upload",635347.227109803
"43185","Measurement","Upload",1319816.15245573
"43186","Measurement","Upload",14302470.5113575
"43187","Measurement","Upload",14209391.6885921
"43188","Measurement","Upload",5739357.35387627
"43189","Measurement","Upload",9633552.16197689
"43190","Measurement","Upload",7105644.83808999
"43191","Measurement","Upload",10638054.3066663
"43192","Measurement","Upload",11293996.3622417
"43193","Measurement","Upload",14237371.5432461
"43194","Measurement","Upload",6582993.598307
"43195","Measurement","Upload",9598346.06206456
"43196","Measurement","Upload",11404443.4944979
"43197","Measurement","Upload",7874446.00965079
"43198","Measurement","Upload",8785742.97769313
"43199","Measurement","Upload",6358203.46741277
"43200","Measurement","Upload",10474246.0942606
"43201","Measurement","Upload",15835453.1310524
"43202","Measurement","Upload",11663360.1123574
"43203","Measurement","Upload",9657348.919102
"43204","Measurement","Upload",12557180.0295382
"43205","Measurement","Upload",9236937.64858208
"43206","Measurement","Upload",4591015.97999996
"43207","Measurement","Upload",11859878.1836578
"43208","Measurement","Upload",9231906.63929905
"43209","Measurement","Upload",6797978.36645712
"43210","Measurement","Upload",8698528.58588302
"43211","Measurement","Upload",3477067.85526684
"43212","Measurement","Upload",7730333.74673806
"43213","Measurement","Upload",10872328.2792967
"43214","Measurement","Upload",4422951.82108716
"43215","Measurement","Upload",11922651.2250466
"43216","Measurement","Upload",5284152.52032396
"43217","Measurement","Upload",6672530.49834802
"43218","Measurement","Upload",5630111.7300422
"43219","Measurement","Upload",5812902.27436186
"43220","Measurement","Upload",11385043.3386299
"43221","Measurement","Upload",14111176.7563142
"43222","Measurement","Upload",12027959.4073079
"43223","Measurement","Upload",6984780.25031231
"43224","Measurement","Upload",10320608.4004804
"43225","Measurement","Upload",14056807.5710482
"43226","Measurement","Upload",12045609.3522678
"43227","Measurement","Upload",11363602.7590913
"43228","Measurement","Upload",14245011.480357
"43229","Measurement","Upload",13436910.2371767
"43230","Measurement","Upload",261441.112378201
"43231","Measurement","Upload",788186.026647445
"43232","Measurement","Upload",12466551.536826
"43233","Measurement","Upload",7941168.46495501
"43234","Measurement","Upload",12808693.6009093
"43235","Measurement","Upload",13415147.2083059
"43236","Measurement","Upload",11812433.7001544
"43237","Measurement","Upload",10752401.9720327
"43238","Measurement","Upload",9310781.37832509
"43239","Measurement","Upload",14516487.7769
"43240","Measurement","Upload",6084025.81056881
"43241","Measurement","Upload",9853911.11998133
"43242","Measurement","Upload",6350238.15285972
"43243","Measurement","Upload",736570.028548779
"43244","Measurement","Upload",10058443.52688
"43245","Measurement","Upload",6781512.23441179
"43246","Measurement","Upload",15760550.0764556
"43247","Measurement","Upload",5976532.18255368
"43248","Measurement","Upload",14781993.1519024
"43249","Measurement","Upload",12465555.1057809
"43250","Measurement","Upload",14347677.565142
"43251","Measurement","Upload",14217649.6485679
"43252","Measurement","Upload",15377120.3197694
"43253","Measurement","Upload",7766844.05206344
"43254","Measurement","Upload",12342472.2305492
"43255","Measurement","Upload",10208241.4223658
"43256","Measurement","Upload",794259.333956029
"43257","Measurement","Upload",10014644.6943116
"43258","Measurement","Upload",10100376.3340305
"43259","Measurement","Upload",14115496.2626594
"43260","Measurement","Upload",4600757.49667251
"43261","Measurement","Upload",11601367.8709648
"43262","Measurement","Upload",13737227.9621442
"43263","Measurement","Upload",9772185.30872352
"43264","Measurement","Upload",11789250.1125191
"43265","Measurement","Upload",10373219.7128809
"43266","Measurement","Upload",632904.990644333
"43267","Measurement","Upload",1407080.83180105
"43268","Measurement","Upload",11604227.6252933
"43269","Measurement","Upload",17439791.9107622
"43270","Measurement","Upload",10656617.4819476
"43271","Measurement","Upload",5761545.49151421
"43272","Measurement","Upload",7900918.90973502
"43273","Measurement","Upload",7713810.6726826
"43274","Measurement","Upload",6296415.56906001
"43275","Measurement","Upload",12046209.4090815
"43276","Measurement","Upload",13857915.679048
"43277","Measurement","Upload",2792535.06133254
"43278","Measurement","Upload",11478196.253951
"43279","Measurement","Upload",11645573.2192884
"43280","Measurement","Upload",12248522.9409624
"43281","Measurement","Upload",9495161.72297257
"43282","Measurement","Upload",2041432.47682067
"43283","Measurement","Upload",12506081.504365
"43284","Measurement","Upload",13617874.6837593
"43285","Measurement","Upload",11424344.2424099
"43286","Measurement","Upload",10311448.5494322
"43287","Measurement","Upload",10225440.6496178
"43288","Measurement","Upload",8554439.30778532
"43289","Measurement","Upload",12688733.4798134
"43290","Measurement","Upload",10605504.1902759
"43291","Measurement","Upload",11457852.7613208
"43292","Measurement","Upload",4535155.36904076
"43293","Measurement","Upload",10896468.5052937
"43294","Measurement","Upload",10939971.3011718
"43295","Measurement","Upload",9196830.18248133
"43296","Measurement","Upload",9485469.68843834
"43297","Measurement","Upload",4839140.52096158
"43298","Measurement","Upload",11981878.6520802
"43299","Measurement","Upload",3208055.52685956
"43300","Measurement","Upload",3531541.98424751
"43301","Measurement","Upload",4317643.09159954
"43302","Measurement","Upload",6085405.55836906
"43303","Measurement","Upload",9094250.99676863
"43304","Measurement","Upload",11200153.2838703
"43305","Measurement","Upload",9561880.35411521
"43306","Measurement","Upload",8572744.5230081
"43307","Measurement","Upload",11846243.3165952
"43308","Measurement","Upload",10295966.7266903
"43309","Measurement","Upload",10414607.3650576
"43310","Measurement","Upload",7633377.69503764
"43311","Fit","Upload",13490906.7768886
"43312","Fit","Upload",11713640.5297508
"43313","Fit","Upload",10643408.300709
"43314","Fit","Upload",5425885.71145391
"43315","Fit","Upload",12205641.2241757
